name,id,ref
Ábelová,3602273331,SK0326511226
Abovce,3602274775,SK0329557757
Babiná,3602265043,SK032B518166
Babinec,3602274779,SK0329514489
Bacúch,3602265939,SK0323508446
Bacúrov,3602265045,SK032B518174
Baďan,3602257760,SK0322516601
Badín,3602265305,SK0321508454
Baláže,3602265329,SK0321508471
Balog nad Ipľom,3602272576,SK032A515868
Banská Belá,3602257762,SK0322516627
Banská Bystrica,3602265296,SK0321508438
Banská Štiavnica,3602257765,SK0322516643
Banský Studenec,3602257768,SK0322516651
Barca,3602274738,SK0329514501
Bartošova Lehôtka,3602261472,SK032D516660
Bátka,3602274767,SK0329514519
Bátorová,3602272585,SK032A515876
Belín,3602274733,SK0329514535
Belina,3602273292,SK0326511234
Beluj,3602257764,SK0322516678
Beňuš,3602265967,SK0323508462
Biskupice,3602273293,SK0326557315
Blhovce,3602274794,SK0329514543
Boľkovce,3602273334,SK0326511251
Bottovo,3602274813,SK0329514551
Braväcovo,3602265966,SK0323508489
Brehy,3602257546,SK032C581607
Breziny,3602265041,SK032B518191
Breznička,3602273707,SK0327511269
Brezno,3602265956,SK0323508497
Brusník,3602272534,SK032A515884
Brusno,3602265299,SK0321508675
Budča,3602265030,SK032B518204
Budikovany,3602274736,SK0329514586
Budiná,3602273332,SK0326511277
Bulhary,3602273317,SK0326558273
Bušince,3602272533,SK032A515892
Buzitka,3602273290,SK0326511293
Bystrá,3602265961,SK0323557251
Bzenica,3602261470,SK032D516708
Bzovík,3602266218,SK0325518212
Bzovská Lehôtka,3602265048,SK032B518221
Cakov,3602274803,SK0329514594
Cerovo,3602266224,SK0325518239
Cinobaňa,3602273709,SK0327511315
Čabradský Vrbovok,3602266208,SK0325518247
Čakanovce,3602273320,SK0326511323
Čamovce,3602273343,SK0326511331
Čebovce,3602272552,SK032A515906
Čekovce,3602266207,SK0325518255
Čeláre,3602272582,SK032A515914
Čelovce,3602272529,SK032A515922
Čerenčany,3602274811,SK0329514608
Čerín,3602265333,SK0321508519
Červeňany,3602272599,SK032A515931
České Brezovo,3602273699,SK0327511340
Čierny Balog,3602265954,SK0323508527
Čierny Potok,3602274760,SK0329514616
Číž,3602274739,SK0329514624
Dačov Lom,3602272594,SK032A515949
Dekýš,3602257773,SK0322516716
Detva,3602265508,SK0324518263
Detvianska Huta,3602265509,SK0324518271
Devičie,3602266222,SK0325518280
Divín,3602273297,SK0326511358
Dobrá Niva,3602265053,SK032B518298
Dobroč,3602273303,SK0326511366
Dolinka,3602272600,SK032A515957
Dolná Lehota,3602265950,SK0323508535
Dolná Mičiná,3602265318,SK0321508543
Dolná Strehová,3602272539,SK032A515965
Dolná Trnávka,3602261466,SK032D516724
Dolná Ves,3602261475,SK032D516732
Dolná Ždaňa,3602261456,SK032D516741
Dolné Mladonice,3602266193,SK0325518301
Dolné Plachtince,3602272591,SK032A515973
Dolné Strháre,3602272549,SK032A515981
Dolné Zahorany,3602274807,SK0329514632
Dolný Badín,3602266214,SK0325518310
Dolný Harmanec,3602265324,SK0321508551
Domaníky,3602266197,SK0325518336
Donovaly,3602265301,SK0321508560
Drábsko,3602265940,SK0323508578
Dražice,3602274727,SK0329514641
Drážovce,3602266195,SK0325518344
Drienčany,3602274761,SK0329514659
Drienovo,3602266206,SK0325518352
Drňa,3602274790,SK0329514667
Držkovce,3602274978,SK0328514675
Ďubákovo,3602273708,SK0327557323
Dubno,3602274745,SK0329514683
Dubové,3602264983,SK032B518361
Dubovec,3602274827,SK0329514691
Dúbravica,3602265298,SK0321508586
